term,definition,parent,plural
Indumentum (hairs etc),-,Hairs,
Indurate,Hardened.,Texture,
Inermous,Unarmed. Without prickles or spines.,Spines__prickles_etc,
Inferior Ovary,"Ovary developing below the point of insertion of petals, etc.; often becoming fruit with calyx remaning at top.",Ovary,Inferior ovaries
Inflorescence,-,Flower_&_fruit,
Inflorescence part,-,Inflorescence,Inflorescence parts
Inflorescence type,"Several/many flowers arranged on a single leafless axis, and maybe including bracts and bracteoles",Inflorescence,Inflorescence types
"Inflorescence, Infructescence",-,Flower_&_fruit,
Infraspecific,Of lower taxonomic rank than species.,Taxonomy,
Infructescence,-,Flower_&_fruit,
Infructescence see Inflorescence  fruits,-,Flower_&_fruit,
Internode,Part of stem between nodes.,Stem,
Interpetiolar,(Stipules) on the stem between the two petioles of opposite leaves.,Node,
Intrapetiolar,"(Stipules) on the stem sandwiched between a petiole and the stem, in the leaf axil.",Position,
Involucre,A whorl or cup of bracts subtending a flower or inflorescence.,Inflorescence_part,Involucres
Involute,-,Margin_of_leaf_blade_(3d),
Isotype,"A specimen which is a duplicate of the holotype, i.e. part of the same collection.",Type_specimen,
Juvenile,"(Whole Plant) Young, infertile stages in life cycle; (Leaf) form associated with juvenile plant, e.g. on coppice shoots.",Vegetative,
Keel,"A prominent longitudinal ridge, like the keel of a boat; in Leguminosae, a boat-shaped structure, formed by the two anterior (lower",Shape__3d,
Keeled,-,Shapes__3d,
Knee Roots,"Parts of root which rise out and bend back into soil/water of swamps, like knees of sunken legs.",Bole,
Knobs,-,Woody_stem,
Lacerate,"Margins irregularly cut, appearing torn.",Serrated,
Laciniate,"Slashed into narrow, ribbon-like (flattened) lobes. See Stipule.",Serrated,
Laevigate,Shiny,Surface_texture,
Lamina  leaf blade,-,Leaf_parts,Leaf blades
Lamina (blade of leaf or leaflet),Flattened green structure repeated many times on tree which normally develops and falls as a unit,Leaf_parts,
Lanate,"Woolly, covered with long, curled and densely matted hairs.",Hairs,
Lanceolate,"Lance-shaped; 3 ? 6 times as long as broad and broadest below middle. See oblanceolate, ovate.",Leaf_blade_shape,
Lateral,i) sideways; ii) abbreviation of lateral nerve   which is a secondary nerve branching from the midrib like a rib.,Position,
Lateral nerve,-,Nerve,
Lateral nerve count (number of pairs),-,Lateral_nerve,
Latex,"Opaque, milk like white or yellow, sticky or rubbery exudate.",Slash,
Latex bright custard yellow or orange,-,Slash_exudate,
Latex white or creamy,-,Slash_exudate,
Laticiferous,Producing latex.,Exudate,
Lax,Loose arrangement; opposite to dense.,Pattern,
Leaf,-,Foliage,
Leaf arrangement,-,Foliage,
Leaf Base,-,Outline_of_leaf_blade,
Leaf blade colour,-,Lamina__leaf_blade,
Leaf Blade glands dots etc,-,Lamina__leaf_blade,
Leaf blade margin,-,Lamina__leaf_blade,
Leaf blade Margin (plane outline),Edge (of leafl,Lamina__leaf_blade,
Leaf blade overall shapes,-,Outline_of_leaf_blade,
